"","expr","time"
"1","linear_Trees(200)",1001076500
"2","linear_Trees(200)",1056508500
"3","linear_Trees(200)",1053252000
"4","certified_ILP(200)",48914983200
"5","linear_Trees(200)",1478906700
"6","certified_ILP(200)",51929333700
"7","certified_ILP(200)",49061106500
"8","certified_ILP(200)",49052938800
"9","linear_Trees(200)",1388834700
"10","linear_Trees(200)",1387270500
"11","linear_Trees(200)",1361172400
"12","certified_ILP(200)",47649386000
"13","linear_Trees(200)",1367672500
"14","linear_Trees(200)",1300650600
"15","linear_Trees(200)",1304374800
"16","certified_ILP(200)",47002394500
"17","linear_Trees(200)",1374137300
"18","certified_ILP(200)",49833493300
"19","linear_Trees(200)",1385418900
"20","certified_ILP(200)",46459623100
"21","linear_Trees(200)",1376973500
"22","certified_ILP(200)",46357244500
"23","linear_Trees(200)",1381286000
"24","linear_Trees(200)",1582340400
"25","linear_Trees(200)",1060995200
"26","certified_ILP(200)",46855011500
"27","linear_Trees(200)",990019700
"28","certified_ILP(200)",39632587900
"29","linear_Trees(200)",1153272900
"30","certified_ILP(200)",41126991200
"31","linear_Trees(200)",976180300
"32","certified_ILP(200)",42090042600
"33","certified_ILP(200)",37630326300
"34","linear_Trees(200)",1000147500
"35","certified_ILP(200)",40477446200
"36","certified_ILP(200)",39186624700
"37","linear_Trees(200)",1141872900
"38","certified_ILP(200)",39146589100
"39","certified_ILP(200)",43554717600
"40","linear_Trees(200)",1169166800
"41","linear_Trees(200)",1153701200
"42","certified_ILP(200)",36969670700
"43","linear_Trees(200)",1033674400
"44","certified_ILP(200)",40354302900
"45","linear_Trees(200)",1070528900
"46","certified_ILP(200)",39822840400
"47","linear_Trees(200)",1168274900
"48","certified_ILP(200)",38555253500
"49","linear_Trees(200)",975775900
"50","certified_ILP(200)",40197331100
"51","linear_Trees(200)",926425800
"52","certified_ILP(200)",38323376000
"53","linear_Trees(200)",1184719000
"54","certified_ILP(200)",38762628000
"55","certified_ILP(200)",39247930600
"56","certified_ILP(200)",35989950700
"57","certified_ILP(200)",38809592700
"58","linear_Trees(200)",939847900
"59","linear_Trees(200)",924699500
"60","certified_ILP(200)",37741623400
"61","linear_Trees(200)",1118595600
"62","linear_Trees(200)",1083353000
"63","certified_ILP(200)",37978507600
"64","certified_ILP(200)",39045023100
"65","linear_Trees(200)",1133364200
"66","certified_ILP(200)",35930414800
"67","certified_ILP(200)",39467757900
"68","certified_ILP(200)",38826888100
"69","linear_Trees(200)",1113044800
"70","certified_ILP(200)",37952123100
"71","linear_Trees(200)",971266700
"72","linear_Trees(200)",959493400
"73","certified_ILP(200)",39420378100
"74","certified_ILP(200)",35955585600
"75","linear_Trees(200)",999947500
"76","certified_ILP(200)",39316893800
"77","certified_ILP(200)",38128862300
"78","linear_Trees(200)",1014326500
"79","linear_Trees(200)",1126605900
"80","certified_ILP(200)",37571037900
"81","linear_Trees(200)",948099600
"82","certified_ILP(200)",39711859000
"83","linear_Trees(200)",923007800
"84","linear_Trees(200)",927603900
"85","linear_Trees(200)",927865100
"86","linear_Trees(200)",1013075800
"87","linear_Trees(200)",928517400
"88","linear_Trees(200)",948084300
"89","certified_ILP(200)",38300976700
"90","linear_Trees(200)",1109851600
"91","linear_Trees(200)",1132789700
"92","linear_Trees(200)",1130637500
"93","certified_ILP(200)",37163277200
"94","linear_Trees(200)",974869200
"95","linear_Trees(200)",1069719900
"96","certified_ILP(200)",39752244000
"97","certified_ILP(200)",37921844900
"98","linear_Trees(200)",1090442800
"99","certified_ILP(200)",38592816600
"100","certified_ILP(200)",39053142100
"101","linear_Trees(200)",1049378700
"102","certified_ILP(200)",36208381600
"103","certified_ILP(200)",39341945000
"104","certified_ILP(200)",37818937100
"105","linear_Trees(200)",1132833700
"106","certified_ILP(200)",38463497500
"107","certified_ILP(200)",39122673900
"108","certified_ILP(200)",35882698600
"109","certified_ILP(200)",38866258700
"110","linear_Trees(200)",1010190300
"111","certified_ILP(200)",38073839900
"112","linear_Trees(200)",1107404900
"113","certified_ILP(200)",37929332500
"114","linear_Trees(200)",1066860500
"115","certified_ILP(200)",39378074600
"116","linear_Trees(200)",1130929000
"117","linear_Trees(200)",1350552900
"118","certified_ILP(200)",35590800900
"119","certified_ILP(200)",38682778500
"120","certified_ILP(200)",38736866800
"121","linear_Trees(200)",1119066600
"122","certified_ILP(200)",37865083300
"123","linear_Trees(200)",959011800
"124","linear_Trees(200)",970254400
"125","certified_ILP(200)",39659064200
"126","linear_Trees(200)",913432800
"127","certified_ILP(200)",37718715300
"128","certified_ILP(200)",38763766600
"129","certified_ILP(200)",39215151900
"130","certified_ILP(200)",36373394500
"131","certified_ILP(200)",39467435700
"132","certified_ILP(200)",37776718400
"133","certified_ILP(200)",38460079500
"134","linear_Trees(200)",942928500
"135","certified_ILP(200)",38998074000
"136","linear_Trees(200)",1138684100
"137","certified_ILP(200)",35722655500
"138","linear_Trees(200)",980838200
"139","linear_Trees(200)",1103257500
"140","linear_Trees(200)",989186100
"141","certified_ILP(200)",38573410600
"142","linear_Trees(200)",917364600
"143","linear_Trees(200)",1031148400
"144","linear_Trees(200)",1050994600
"145","linear_Trees(200)",1044467900
"146","linear_Trees(200)",961770700
"147","linear_Trees(200)",966103000
"148","certified_ILP(200)",41668364900
"149","certified_ILP(200)",36737165100
"150","linear_Trees(200)",963737400
"151","certified_ILP(200)",39391635100
"152","certified_ILP(200)",37576863600
"153","linear_Trees(200)",1205841100
"154","certified_ILP(200)",38590939700
"155","linear_Trees(200)",964742300
"156","certified_ILP(200)",39665918400
"157","linear_Trees(200)",1140197300
"158","linear_Trees(200)",1132307500
"159","certified_ILP(200)",35506337200
"160","certified_ILP(200)",38978352700
"161","certified_ILP(200)",38410365700
"162","certified_ILP(200)",38236343900
"163","certified_ILP(200)",39384110900
"164","certified_ILP(200)",35968248400
"165","linear_Trees(200)",972075800
"166","certified_ILP(200)",39262493000
"167","linear_Trees(200)",932125900
"168","linear_Trees(200)",934484200
"169","linear_Trees(200)",920571800
"170","linear_Trees(200)",949045600
"171","certified_ILP(200)",38363645700
"172","linear_Trees(200)",1137171300
"173","linear_Trees(200)",1194389900
"174","linear_Trees(200)",1038538600
"175","linear_Trees(200)",1145832600
"176","certified_ILP(200)",36613191200
"177","certified_ILP(200)",39395502500
"178","certified_ILP(200)",37904557100
"179","certified_ILP(200)",38957680000
"180","certified_ILP(200)",39196134400
"181","linear_Trees(200)",1139251400
"182","linear_Trees(200)",1144937900
"183","certified_ILP(200)",35905248300
"184","linear_Trees(200)",1075187000
"185","certified_ILP(200)",38996099700
"186","certified_ILP(200)",37987492800
"187","linear_Trees(200)",1139767900
"188","linear_Trees(200)",1116604800
"189","certified_ILP(200)",37983610600
"190","linear_Trees(200)",979602900
"191","linear_Trees(200)",973183600
"192","linear_Trees(200)",985624400
"193","linear_Trees(200)",969500600
"194","certified_ILP(200)",39781848000
"195","linear_Trees(200)",923567100
"196","certified_ILP(200)",38076740700
"197","certified_ILP(200)",38788266800
"198","certified_ILP(200)",39194338600
"199","linear_Trees(200)",1135867900
"200","certified_ILP(200)",35949391200
