Observations (linear_program),Observations (ILP_program)
7.21,2839460.27
5.85,1693121.63
3.24,1591485.47
4.89,1708757.97
4.26,1599303.64
4.2,2912755.58
7.44,1568030.97
3.71,3059346.19
5.61,2582926.69
5.01,1392122.23
3.8,2115302.61
6.84,1716576.13
6.18,2916050.89
3.77,1661848.97
5.67,1462485.73
5.79,1786939.63
7.49,2929403.23
7.02,2363040.76
3.89,3169289.16
3.98,1415576.73
3.35,1974575.62
4.28,1560212.81
3.92,2546279.03
3.21,1700939.8
4.71,1763485.13
4.04,2729517.3
4.12,2209120.61
5.73,2876107.92
3.41,2436336.07
4.24,2279484.11
6.56,1544576.47
6.28,1880757.63
3.56,1857303.13
4.65,1740030.63
4.36,2162211.61
7.38,1614939.97
4.32,2619574.34
6.09,2232575.11
7.39,2509631.38
5.31,1927666.62
4.42,1677485.3
3.5,2302938.6
4.4,1403849.48
5.37,1286576.99
7.36,2399688.41
4.1,2138757.11
6.65,1583667.31
4.48,1951121.12
4.34,1298304.24
3.96,1356940.49
3.86,1485940.23
5.91,1427303.98
7.3,1732212.47
5.49,1532849.22
3.29,1622758.14
4.08,2021484.62
3.59,1904212.12
4.18,2068393.62
7.37,1998030.12
4.3,1810394.13
3.44,1263122.49
4.83,1630576.3
4.59,2692869.65
3.68,1646212.64
7.14,1310031.49
5.55,1368667.74
7.11,1345213.24
4.77,1274849.74
3.65,1497667.48
5.43,1833848.63
5.07,1724394.3
3.26,2656221.99
2.48,1333485.99
6.74,1607121.8
4.54,2326393.1
3.38,1380394.98
6.93,1509394.73
7.35,1474212.98
6,2185666.11
6.46,1685303.47
4.14,1450758.48
7.26,1669667.14
3.74,2472983.72
3.83,1321758.74
4,1552394.64
5.25,2044939.12
3.53,2895993.85
3.47,2766164.96
5.13,977270.79
4.06,2256029.61
6.37,1521121.97
4.95,2091848.12
4.16,2931812.81
5.19,1654030.8
3.62,1439031.23
3.32,2802812.61
4.02,1638394.47
3.94,2822698.54
4.22,3132641.5
4.38,1575849.14
